time	V(cmirror)	V(p001)	V(p002)	V(vdd)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(n010)
1.074707031250000e-006	3.113071319461324e+000	1.494140624999999e-001	-1.494140624999999e-001	5.000000000000000e+000	1.725250744802051e+000	3.188332387417634e+000	4.651414030033219e+000	1.075339687454464e+000	1.850565937700000e+000	2.000000000000000e+000	2.000000000000000e+000	2.149394062699996e+000	3.110500000000000e+000	7.783238741763446e-001
1.075073242187500e-006	3.113071807378998e+000	1.501464843750001e-001	-1.501464843750001e-001	5.000000000000000e+000	1.721992478219758e+000	3.188302459807238e+000	4.654612441394718e+000	1.075859848055992e+000	1.849833515825000e+000	2.000000000000000e+000	2.000000000000000e+000	2.150126484574996e+000	3.110500000000000e+000	7.780245980723812e-001
1.075805664062500e-006	3.113073402937179e+000	1.516113281249999e-001	-1.516113281249999e-001	5.000000000000000e+000	1.715599777227615e+000	3.188242892982068e+000	4.660886008736521e+000	1.076907256078318e+000	1.848368672075000e+000	2.000000000000000e+000	2.000000000000000e+000	2.151591328324996e+000	3.110500000000000e+000	7.774289298206749e-001
1.080200195312500e-006	3.113071068498384e+000	1.604003906249999e-001	-1.604003906249999e-001	5.000000000000000e+000	1.679186127276089e+000	3.187896959971591e+000	4.696607792667094e+000	1.083058259841164e+000	1.839579609575000e+000	2.000000000000000e+000	2.000000000000000e+000	2.160380390824996e+000	3.110500000000000e+000	7.739695997159120e-001
1.083129882812500e-006	3.113068245445582e+000	1.662597656250001e-001	-1.662597656250001e-001	5.000000000000000e+000	1.657420301560016e+000	3.187685505162937e+000	4.717950708765858e+000	1.086582499680807e+000	1.833720234575000e+000	2.000000000000000e+000	2.000000000000000e+000	2.166239765824996e+000	3.110500000000000e+000	7.718550516293650e-001
1.086059570312500e-006	3.113065695397403e+000	1.721191406250000e-001	-1.721191406250000e-001	5.000000000000000e+000	1.638182082633150e+000	3.187495300188757e+000	4.736808517744365e+000	1.089390449997844e+000	1.827860859575000e+000	2.000000000000000e+000	2.000000000000000e+000	2.172099140824996e+000	3.110500000000000e+000	7.699530018875724e-001
1.088989257812500e-006	3.113063746992142e+000	1.779785156250000e-001	-1.779785156250000e-001	5.000000000000000e+000	1.621036716589763e+000	3.187323163974385e+000	4.753609611359007e+000	1.091584273407182e+000	1.822001484575000e+000	2.000000000000000e+000	2.000000000000000e+000	2.177958515824996e+000	3.110500000000000e+000	7.682316397438492e-001
1.094848632812500e-006	3.113060917424468e+000	1.896972656250000e-001	-1.896972656250000e-001	5.000000000000000e+000	1.591296310845569e+000	3.187018695195294e+000	4.782741079545020e+000	1.094658013660534e+000	1.810282734575001e+000	2.000000000000000e+000	2.000000000000000e+000	2.189677265824995e+000	3.110500000000000e+000	7.651869519529451e-001
1.098144531250000e-006	3.113059802259691e+000	1.962890624999999e-001	-1.962890624999999e-001	5.000000000000000e+000	1.576815510404934e+000	3.186867259615056e+000	4.796919008825178e+000	1.095739724683031e+000	1.803690937700001e+000	2.000000000000000e+000	2.000000000000000e+000	2.196269062699995e+000	3.110500000000000e+000	7.636725961505561e-001
1.101440429687500e-006	3.113058791276343e+000	2.028808593750001e-001	-2.028808593750001e-001	5.000000000000000e+000	1.563157974191153e+000	3.186723342965804e+000	4.810288711740455e+000	1.096614610996409e+000	1.797099140825001e+000	2.000000000000000e+000	2.000000000000000e+000	2.202860859574995e+000	3.110500000000000e+000	7.622334296580406e-001
1.104736328125000e-006	3.113057884474425e+000	2.094726562499999e-001	-2.094726562499999e-001	5.000000000000000e+000	1.550323702204230e+000	3.186586945247540e+000	4.822850188290849e+000	1.097282672600669e+000	1.790507343950001e+000	2.000000000000000e+000	2.000000000000000e+000	2.209452656449995e+000	3.110500000000000e+000	7.608694524753989e-001
1.108032226562500e-006	3.113057081853937e+000	2.160644531250002e-001	-2.160644531250002e-001	5.000000000000000e+000	1.538312694444163e+000	3.186458066460264e+000	4.834603438476363e+000	1.097743909495809e+000	1.783915547075001e+000	2.000000000000000e+000	2.000000000000000e+000	2.216044453324995e+000	3.110500000000000e+000	7.595806646026306e-001
1.111328125000000e-006	3.113056383414879e+000	2.226562500000000e-001	-2.226562500000000e-001	5.000000000000000e+000	1.527124950910953e+000	3.186336706603974e+000	4.845548462296995e+000	1.097998321681831e+000	1.777323750200001e+000	2.000000000000000e+000	2.000000000000000e+000	2.222636250199995e+000	3.110500000000000e+000	7.583670660397361e-001
1.114624023437500e-006	3.113055789157251e+000	2.292480468750002e-001	-2.292480468750002e-001	5.000000000000000e+000	1.516760471604598e+000	3.186222865678672e+000	4.855685259752746e+000	1.098045909158734e+000	1.770731953325001e+000	2.000000000000000e+000	2.000000000000000e+000	2.229228047074995e+000	3.110500000000000e+000	7.572286567867151e-001
