time	V(ainp)	V(ainter1)	V(binp)	V(binter1)	V(inter1)	V(vdd)	V(xorout)	V(n002)	V(n003)	V(n004)	V(n005)
2.584193749897702e-007	1.292096874948851e+000	4.011677930516131e+000	5.000000000000000e+000	9.889830161984331e-003	4.096243243373341e+000	5.000000000000000e+000	4.999963161057973e+000	9.039465471486652e-002	2.736296532116656e+000	4.387426589428367e-003	3.748370502483684e+000
2.603724999897702e-007	1.301862499948851e+000	3.988238765908903e+000	5.000000000000000e+000	1.104031496986691e-002	4.072957607914770e+000	5.000000000000000e+000	4.999963173493160e+000	9.218323072625320e-002	2.704329940101668e+000	4.880207033103157e-003	3.730206000485110e+000
2.623256249897702e-007	1.311628124948851e+000	3.964665521515062e+000	5.000000000000000e+000	1.228120077616349e-002	4.049256784419556e+000	5.000000000000000e+000	4.999963218712951e+000	9.397902284538834e-002	2.672020229683253e+000	5.408566930928963e-003	3.711955655042523e+000
2.642787499897702e-007	1.321393749948851e+000	3.940975219107620e+000	5.000000000000000e+000	1.361770459932038e-002	4.025130109131188e+000	5.000000000000000e+000	4.999963295137239e+000	9.578162068876775e-002	2.639359350678379e+000	5.974166912754597e-003	3.693633954260071e+000
2.662318749897702e-007	1.331159374948851e+000	3.917186712938102e+000	5.000000000000000e+000	1.505540669753178e-002	4.000566243441003e+000	5.000000000000000e+000	4.999963409554112e+000	9.759060287411925e-002	2.606338820757436e+000	6.578756146719003e-003	3.675256903305077e+000
2.681849999897702e-007	1.340924999948851e+000	3.893320875012215e+000	5.000000000000000e+000	1.660028985876619e-002	3.975553084339345e+000	5.000000000000000e+000	4.999963561145194e+000	9.940553589363954e-002	2.572949589269118e+000	7.224182280471864e-003	3.656842178343364e+000
2.701381249897702e-007	1.350690624948851e+000	3.869400851907899e+000	5.000000000000000e+000	1.825877642751841e-002	3.950077732211469e+000	5.000000000000000e+000	4.999963757217636e+000	1.012259730942750e-001	2.539182091036467e+000	7.912397404467586e-003	3.638409336174063e+000
2.720912499897702e-007	1.360456249948851e+000	3.845452307199729e+000	5.000000000000000e+000	2.003777709107901e-002	3.924126388679341e+000	5.000000000000000e+000	4.999963997888260e+000	1.030514533135221e-001	2.505026108128559e+000	8.645469608614884e-003	3.619980015083980e+000
2.740443749897702e-007	1.370221874948851e+000	3.821503736783833e+000	5.000000000000000e+000	2.194473930084190e-002	3.897684307654890e+000	5.000000000000000e+000	4.999964291157156e+000	1.048814996107197e-001	2.470470806742096e+000	9.425591112795118e-003	3.601578192875369e+000
2.759974999897702e-007	1.379987499948851e+000	3.797586782217150e+000	5.000000000000000e+000	2.398770889020963e-002	3.870735676422674e+000	5.000000000000000e+000	4.999964638295641e+000	1.067156175982243e-001	2.435504593370830e+000	1.025509198735912e-002	3.583230446166205e+000
2.779506249897702e-007	1.389753124948851e+000	3.773736622847173e+000	5.000000000000000e+000	2.617487315763090e-002	3.843263539073375e+000	5.000000000000000e+000	4.999965047327953e+000	1.085532937970478e-001	2.400115126487558e+000	1.113623114139409e-002	3.564966160264346e+000
2.799037499897702e-007	1.399518749948851e+000	3.749992369825592e+000	5.000000000000000e+000	2.851612970786921e-002	3.815249683336534e+000	5.000000000000000e+000	4.999965523504020e+000	1.103939937957673e-001	2.364289187419840e+000	1.207184215791596e-002	3.546818175349138e+000
2.818568749897702e-007	1.409284374948851e+000	3.726397566640273e+000	5.000000000000000e+000	3.102230616250284e-002	3.786674487920720e+000	5.000000000000000e+000	4.999966074675140e+000	1.122371597829478e-001	2.328012625289040e+000	1.306498545776702e-002	3.528823012064885e+000
2.857631249897702e-007	1.428815624948851e+000	3.679855745525215e+000	5.000000000000000e+000	3.657387139025636e-002	3.727753770237321e+000	5.000000000000000e+000	4.999967428950546e+000	1.159285276958621e-001	2.254045666007533e+000	1.523558581812845e-002	3.493457316915634e+000
2.896693749897702e-007	1.448346874948850e+000	3.634569430908011e+000	5.000000000000000e+000	4.293203050781091e-002	3.666310612033158e+000	5.000000000000000e+000	4.999969184910222e+000	1.196223695793429e-001	2.178078069598267e+000	1.767479600622002e-002	3.459250966187774e+000
2.935756249897701e-007	1.467878124948851e+000	3.591108527256632e+000	5.000000000000000e+000	5.022141426646265e-002	3.602120268232825e+000	5.000000000000000e+000	4.999971436391459e+000	1.233130896778846e-001	2.099950555111703e+000	2.041401226144515e-002	3.426678278450158e+000
2.955287499897701e-007	1.477643749948851e+000	3.570277995125208e+000	5.000000000000000e+000	5.426174420698082e-002	3.568913289653918e+000	5.000000000000000e+000	4.999972783489279e+000	1.251553405370219e-001	2.060019249498769e+000	2.190740637659816e-002	3.411183677871198e+000
2.974818749897701e-007	1.487409374948851e+000	3.550182618978958e+000	5.000000000000000e+000	5.859485345227433e-002	3.534915297143873e+000	5.000000000000000e+000	4.999974302976369e+000	1.269943801343628e-001	2.019474522694661e+000	2.349015432853413e-002	3.396329320039885e+000
2.994349999897701e-007	1.497174999948851e+000	3.530938592520349e+000	5.000000000000000e+000	6.324576786772784e-002	3.500084239504469e+000	5.000000000000000e+000	4.999976012606782e+000	1.288292768910265e-001	1.978286771819383e+000	2.516798296473394e-002	3.382211827528097e+000
3.013881249897701e-007	1.506940624948850e+000	3.512675589897884e+000	5.000000000000000e+000	6.824264015487724e-002	3.464373691571761e+000	5.000000000000000e+000	4.999977937612695e+000	1.306590268286972e-001	1.936423301333821e+000	2.694718276747626e-002	3.368939080661360e+000
3.033412499897701e-007	1.516706249948850e+000	3.495538259069142e+000	5.000000000000000e+000	7.361730078463991e-002	3.427732169684199e+000	5.000000000000000e+000	4.999980101834732e+000	1.324825428034596e-001	1.893847749093783e+000	2.883469306477665e-002	3.356631508555588e+000
3.052943749897701e-007	1.526471874948850e+000	3.479687918259581e+000	5.000000000000000e+000	7.940592296192606e-002	3.390102372591541e+000	5.000000000000000e+000	4.999982536854485e+000	1.342986421310888e-001	1.850519515573187e+000	3.083819971041035e-002	3.345423564127993e+000
3.072474999897701e-007	1.536237499948851e+000	3.465304353254272e+000	5.000000000000000e+000	8.564985806234948e-002	3.351420200269779e+000	5.000000000000000e+000	4.999985274563466e+000	1.361060311694271e-001	1.806392932188935e+000	3.296625734209752e-002	3.335465314884643e+000
3.092006249897701e-007	1.546003124948851e+000	3.452587862576636e+000	5.000000000000000e+000	9.239666783125000e-002	3.311613616885294e+000	5.000000000000000e+000	4.999988355201205e+000	1.379032871103089e-001	1.761416354119630e+000	3.522843403005133e-002	3.326924270616268e+000
3.111537499897701e-007	1.555768749948851e+000	3.441761437484712e+000	5.000000000000000e+000	9.970144201386111e-002	3.270601188821930e+000	5.000000000000000e+000	4.999991821693950e+000	1.396888350998113e-001	1.715530903224066e+000	3.763549315519038e-002	3.319987378235408e+000
3.131068749897701e-007	1.565534374948851e+000	3.433073281562369e+000	5.000000000000000e+000	1.076284685315634e-001	3.228290323999655e+000	5.000000000000000e+000	4.999995727300703e+000	1.414609204543137e-001	1.668669002925713e+000	4.019961509335635e-002	3.314863358982343e+000
3.150599999897701e-007	1.575299999948850e+000	3.426799575592375e+000	5.000000000000000e+000	1.162534115825393e-001	3.184574994406294e+000	5.000000000000000e+000	5.000000130332445e+000	1.432175732386435e-001	1.620752396482073e+000	4.293467945931018e-002	3.311785347282085e+000
3.170131249897701e-007	1.585065624948850e+000	3.423247807780699e+000	5.000000000000000e+000	1.256661551797851e-001	3.139332891204169e+000	5.000000000000000e+000	5.000005101628571e+000	1.449565639354513e-001	1.571689717029393e+000	4.585661972256450e-002	3.311014116427788e+000
3.189662499897701e-007	1.594831249948850e+000	3.422760678101360e+000	5.000000000000000e+000	1.359746167188007e-001	3.092421684161435e+000	5.000000000000000e+000	5.000010725434599e+000	1.466753457105169e-001	1.521373215171176e+000	4.898388398962195e-002	3.312841963356579e+000
3.209193749897701e-007	1.604596874948850e+000	3.425721147371055e+000	5.000000000000000e+000	1.473099060209115e-001	3.043674167573999e+000	5.000000000000000e+000	5.000017106199474e+000	1.483709796231483e-001	1.469674564358614e+000	5.233803370463652e-002	3.317597781232607e+000
3.228724999897701e-007	1.614362499948850e+000	3.432513342150394e+000	5.000000000000000e+000	1.598330616457506e-001	2.992893283146203e+000	5.000000000000000e+000	5.000024237761014e+000	1.500400524829998e-001	1.416438124757313e+000	5.594442233088748e-002	3.325617802001488e+000
